aspect	label	trap	sentence
guidance	positive	0	We are raising our full-year guidance and now expect revenue growth of 10% to 12%.
guidance	positive	0	Given the strong start to the year, we are lifting our outlook for the remainder of 2025.
guidance	positive	1	We now expect operating expenses to come in below the low end of our prior guidance.
guidance	positive	0	Management reiterated its full-year guidance and pointed to upside from recent contract wins.
guidance	positive	1	The updated outlook reflects a lower tax rate and reduced interest expense.
guidance	positive	0	We are narrowing our guidance range upward to reflect the record backlog.
guidance	negative	0	We are lowering our full-year guidance given weaker demand and tariff headwinds.
guidance	negative	0	We now expect revenue growth at the low end of the range, and visibility beyond the third quarter is limited.
guidance	negative	1	We are withdrawing our outlook until the uncertainty around the merger clears.
guidance	negative	0	The company cut its forecast for the second half and no longer expects to hit its margin target.
guidance	negative	1	We do not expect to meet our prior guidance for free cash flow this year.
guidance	negative	0	Our outlook for the next few quarters has deteriorated as customers delay projects.
guidance	neutral	0	The company will provide its full-year outlook at the investor day in November.
guidance	neutral	0	We are maintaining our guidance and have nothing to update at this time.
guidance	neutral	0	Guidance assumes an effective tax rate of 21% and a share count of 310 million.
guidance	neutral	0	We do not provide quarterly guidance and will update our annual forecast in the fourth quarter.
margins	positive	0	Gross margin expanded 180 basis points to 34.2% on favorable mix and productivity gains.
margins	positive	1	Operating costs decreased 8% as a percentage of sales, lifting operating margin.
margins	positive	1	We lowered our cost base and margins improved as a result.
margins	positive	0	EBITDA margin reached a record 28% driven by operating leverage.
margins	positive	1	Input costs fell during the quarter and pricing held firm, supporting profitability.
margins	positive	0	Net margin improved to 14.1% on higher volumes and disciplined spending.
margins	negative	0	Gross margin contracted 90 basis points as input cost inflation and tariffs weighed on profitability.
margins	negative	1	Compute costs are rising faster than planned and we expect margin pressure over the next few quarters.
margins	negative	1	Cost of revenue increased 14% year over year, outpacing sales growth.
margins	negative	0	Operating margin declined as pricing did not fully offset higher costs.
margins	negative	1	Tariffs added roughly 60 basis points of cost and squeezed margins.
margins	negative	0	Profitability was hurt by unfavorable mix and one-time charges.
margins	neutral	0	Operating margin was flat at 22.5% compared with the prior year.
margins	neutral	0	Gross margin was 78% in the quarter, in line with our expectations.
margins	neutral	0	We will disclose segment-level margins in the appendix to the presentation.
margins	neutral	0	Margins were unchanged sequentially at 31%.
